Report number:,Z489301,,,,,
Date:,3/9/2015,,,,,
Associate:,Matt Tennant,,,,,
Department ID:,576,,,,,
OrderID,ProductID,Quantity,Sales,Discount,COS,GP
11016,36,16,138.56,0,122.2099,16.3501
11017,3,25,538.25,0,486.1304,52.1196
11017,59,110,933.9,0,823.6998,110.2002
11017,70,30,952.8,0,848.3997,104.4003
11018,12,20,194.2,0,171.2844,22.9156
11018,18,10,275.6,0,243.0792,32.5208
11018,56,5,180.1,0,158.8482,21.2518
11019,46,3,34.05,0,30.0321,4.0179
11019,49,2,43.54,0,39.1742,4.3658
11020,10,24,197.064,25.704,151.1395,45.9245
11021,2,11,244.75,48.95,172.6956,72.0544
11021,20,15,1114.2,0,982.7244,131.4756
11021,26,63,1901.34,0,1676.9819,224.3581
11021,51,44,5569.85,1113.97,3930.0862,1639.7638
11021,72,35,441.35,0,389.2707,52.0793
11022,19,35,336.35,0,296.6607,39.6893
11022,69,30,62.1,0,54.7722,7.3278
11023,7,4,161.2,0,142.1784,19.0216
11023,43,30,357.3,0,315.1386,42.1614
11024,26,12,401.28,0,353.929,47.351
11024,33,30,707.4,0,623.9268,83.4732
11024,65,21,196.98,0,173.7364,23.2436
11024,71,50,1430,0,1261.26,168.74
11025,1,10,215.05,19.55,180.1711,34.8789
11025,13,20,558.8,50.8,448.056,110.744
11026,18,8,214.88,0,189.5242,25.3558
11026,51,10,929.8,0,820.0836,109.7164
11027,24,30,179.625,35.925,126.7434,52.8816
11027,62,21,754.95,150.99,589.623,165.327
11028,55,35,1286.95,0,1135.0899,151.8601
11028,59,24,207.12,0,182.6798,24.4402
11029,56,20,763.2,0,673.1424,90.0576
11029,63,12,217.68,0,191.9938,25.6862
11030,2,100,2427.5,485.5,1712.844,714.656
11030,5,70,424.2,0,413.9145,10.2855
11030,29,60,10074.75,2014.95,7108.7436,2966.0064
11030,59,100,980,196,691.488,288.512
11031,1,45,965.25,0,851.3505,113.8995
11031,13,80,2183.2,0,1925.5824,257.6176
11031,24,21,94.92,0,83.7194,11.2006
11031,64,20,648,0,628.2958,19.7042
11031,71,16,460.32,0,406.0022,54.3178
11032,36,35,261.8,0,230.9076,30.8924
11032,38,25,2139,0,1886.598,252.402
11032,59,30,233.4,0,205.8588,27.5412
11033,53,70,4261.95,387.45,3417.309,844.641
11033,69,36,85.14,7.74,72.0025,13.1375
11034,21,15,178.86,16.26,143.4132,35.4468
11034,44,12,879.48,0,775.7014,103.7786
11034,61,6,145.56,0,128.3839,17.1761
11035,1,10,195.5,0,172.431,23.069
11035,35,60,366.6,0,323.3412,43.2588
11035,42,30,399.6,0,383.087,16.513
11035,54,10,373,0,328.986,44.014
11036,13,7,175.07,0,154.4117,20.6583
11036,59,30,247.8,0,218.5596,29.2404
11037,70,4,116,0,102.312,13.688
11038,40,5,106.62,17.77,78.3657,28.2543
11038,52,2,155.22,0,136.904,18.316
11038,71,30,961.8,0,848.3076,113.4924
11039,28,20,958,0,844.956,113.044
11039,35,24,147.84,0,130.3949,17.4451
11039,49,60,1116,0,984.312,131.688
11039,57,28,575.68,0,507.7498,67.9302
11040,21,20,209.2,0,184.5144,24.6856
11041,2,30,724.32,120.72,532.3752,191.9448
11041,63,30,610.5,0,538.461,72.039
11042,44,15,1131.15,0,997.6743,133.4757
11042,61,4,114.16,0,100.6891,13.4709
11043,11,10,282.8,0,249.4296,33.3704
11044,62,12,316.8,0,279.4176,37.3824
11045,33,15,375.3,0,331.0146,44.2854
11045,51,24,2461.2,0,2170.7784,290.4216
11046,12,20,195.72,9.32,164.4048,31.3152
11046,32,15,328.3875,15.6375,275.8455,52.542
11046,35,18,119.259,5.679,100.1776,19.0814
11047,1,25,603.4375,120.6875,425.7855,177.652
11047,5,30,223.5,44.7,157.7016,65.7984
11048,68,42,483.84,0,426.7469,57.0931
11049,2,10,224.4,37.4,164.934,59.466
11049,12,4,44.256,7.376,32.5282,11.7278
11050,76,50,21109.55,1919.05,16926.021,4183.529
11051,24,10,49.68,8.28,36.5148,13.1652
11052,43,30,429.12,71.52,315.4032,113.7168
11052,61,10,335.04,55.84,251.5801,83.4599
11053,18,35,1068.9,178.15,842.832,226.068
11053,32,20,411.2,0,392.0924,19.1076
11053,64,25,1084.2,180.7,796.887,287.313
11054,33,10,238.4,0,210.2688,28.1312
11054,67,20,1090.6,0,961.9092,128.6908
11055,24,15,67.35,0,59.4027,7.9473
11055,25,15,189.3,0,166.9626,22.3374
11055,51,20,1941.6,0,1712.4912,229.1088
11055,57,20,387.4,0,341.6868,45.7132
11056,7,40,1686,0,1487.052,198.948
11056,55,35,1367.45,0,1206.0909,161.3591
11056,60,50,269,0,247.4736,21.5264
11057,70,3,86.1,0,75.9402,10.1598
11058,21,3,30.9,0,27.2538,3.6462
11058,60,21,115.08,0,101.5006,13.5794
11058,61,4,107.88,0,95.1502,12.7298
11059,13,30,812.4,0,716.5368,95.8632
11059,17,12,321.6,0,283.6512,37.9488
11059,60,35,181.65,0,160.2153,21.4347
11060,60,4,19.84,0,17.4989,2.3411
11060,77,10,131.1,0,115.6302,15.4698
11061,60,15,79.05,0,69.7221,9.3279
11062,53,10,738.48,123.08,542.7828,195.6972
11062,70,12,398.592,66.432,292.9651,105.6269
11063,34,30,241.8,0,213.2676,28.5324
11063,40,40,878.24,79.84,704.1888,174.0512
11063,41,30,317.46,28.86,254.5452,62.9148
11064,17,77,2277.583,207.053,1826.2075,451.3755
11064,41,12,122.76,0,108.2743,14.4857
11064,53,25,1683.275,153.025,1349.6805,333.5945
11064,55,4,174.944,15.904,140.2733,34.6707
11064,68,55,627.55,0,553.4991,74.0509
11065,30,4,123,24.6,94.2484,28.7516
11065,54,20,942.25,188.45,664.8516,277.3984
11066,16,3,28.08,0,24.7666,3.3134
11066,19,42,412.02,0,363.4016,48.6184
11066,34,35,265.65,0,234.3033,31.3467
11067,41,9,84.06,0,74.1409,9.9191
11068,28,8,431.112,56.232,330.6442,100.4678
11068,43,36,464.094,60.534,355.9399,108.1541
11068,77,28,447.258,58.338,343.0274,104.2306
11069,39,20,1165.2,0,1075.3017,89.8983
11070,1,40,854.22,111.42,655.1496,199.0704
11070,2,20,463.91,60.51,355.7988,108.1112
11070,16,30,302.22,39.42,236.5117,65.7083
11070,31,20,169,0,149.058,19.942
11071,7,15,669.375,31.875,562.275,107.1
11071,13,10,273.735,13.035,229.9374,43.7976
11072,2,8,161.6,0,142.5312,19.0688
11072,41,40,416,0,366.912,49.088
11072,50,22,347.82,0,306.7772,41.0428
11072,64,130,4230.2,0,3731.0364,499.1636
11073,11,10,289.3,0,261.7971,27.5029
11073,24,20,92,0,81.144,10.856
11074,16,14,142.884,6.804,120.0226,22.8614
11075,2,10,196.65,25.65,150.822,45.828
11075,46,30,454.71,59.31,348.7428,105.9672
11075,76,2,871.815,113.715,668.6442,203.1708
11076,6,20,95.5,19.1,69.4453,26.0547
11076,14,20,623.25,124.65,439.7652,183.4848
11076,19,10,122.25,24.45,86.2596,35.9904
11077,2,24,545.184,90.864,400.7102,144.4738
11077,3,4,87.4,0,77.0868,10.3132
11077,4,3,70.8,0,62.4456,8.3544
11077,6,50,223.89,4.39,193.599,30.291
11077,7,15,630.63,30.03,529.7292,100.9008
11077,8,5,118.855,10.805,95.3001,23.5549
11077,10,15,98.55,0,86.9211,11.6289
11077,12,10,112.665,5.365,94.6386,18.0264
11077,13,10,264.3,0,233.1126,31.1874
11077,14,50,1274.11,37.11,1091.034,183.076
11077,16,25,266.5125,7.7625,228.2175,38.295
11077,20,15,1245.348,47.898,1056.1509,189.1971
11077,23,14,132.58,0,116.9356,15.6444
11077,32,10,189.8,0,181.724,8.076
11077,39,10,578.55,27.55,485.982,92.568
11077,41,8,69.76,0,61.5283,8.2317
11077,46,8,94.9008,1.8608,82.0613,12.8395
11077,52,8,662.64,0,584.4485,78.1915
11077,55,5,210.55,0,193.3484,17.2016
11077,60,8,45.1984,2.5584,37.6085,7.5899
11077,64,15,526.6905,15.3405,451.0107,75.6798
11077,66,8,162.8,0,143.5896,19.2104
11077,73,5,6.1105,0.0605,5.838,0.2725
11077,75,14,114.66,0,101.1301,13.5299
11077,77,10,119.8,0,105.6636,14.1364
11078,2,10,198.45,9.45,166.698,31.752
11078,3,25,511.875,24.375,429.975,81.9
11079,13,10,267.75,12.75,224.91,42.84
11079,57,15,285,0,251.37,33.63
11080,14,100,2415,115,2028.6,386.4
11081,75,150,1163.25,105.75,943.7781,219.4719
11082,3,35,732.1475,47.8975,603.5085,128.639
11083,9,5,194.5,0,171.549,22.951
11083,21,15,149.25,0,131.6385,17.6115
11083,22,15,52.5,0,46.305,6.195
11083,24,50,236.25,11.25,198.45,37.8
11083,33,3,76.5,0,67.473,9.027
11083,37,7,31.5,0,27.783,3.717
11083,42,10,156.5,0,138.033,18.467
11083,47,5,127.5,0,112.455,15.045
11083,51,3,308.691,8.991,264.3354,44.3556
11083,62,5,124.8,4.8,105.84,18.96
10248,11,12,343.44,0,284.3683,59.0717
10248,42,10,140.4,0,116.2512,24.1488
10248,72,5,63.55,0,52.6194,10.9306
10249,14,9,205.2,0,169.9056,35.2944
10249,51,40,4048,0,3642.6713,405.3287
10250,41,10,95.9,0,79.4052,16.4948
10250,51,35,3931.2175,512.7675,2830.4766,1100.7409
10250,65,15,163.3575,21.3075,117.6174,45.7401
10251,22,6,21.357,1.017,16.8415,4.5155
10251,57,15,332.64,15.84,288.1383,44.5017
10251,65,20,185.2,0,156.4436,28.7564
10252,20,40,3189.06,151.86,2514.8016,674.2584
10252,33,25,620.55,29.55,489.348,131.202
10252,60,40,182,0,150.696,31.304
10253,31,20,165.6,0,140.5657,25.0343
10253,39,42,2433.9,0,2015.2692,418.6308
10253,49,40,796.4,0,659.4192,136.9808
10254,24,15,77.97,10.17,56.1384,21.8316
10254,55,21,984.354,128.394,708.7349,275.6191
10254,74,21,617.4,0,511.2072,106.1928
10255,2,20,342.4,0,283.5072,58.8928
10255,16,35,320.95,0,265.7466,55.2034
10255,36,25,194.25,0,160.839,33.411
10255,59,30,234.9,0,198.2353,36.6647
10256,53,15,907.95,0,751.7826,156.1674
10256,77,12,162,0,134.136,27.864
10257,27,25,1077.25,0,891.963,185.287
10257,39,6,329.04,0,272.7112,56.3288
10257,77,15,192.6,0,159.4728,33.1272
10258,2,50,1201.2,200.2,828.828,372.372
10258,5,65,478.14,79.69,344.2608,133.8792
10258,32,6,139.32,23.22,100.3104,39.0096
10259,21,10,101.4,0,87.6096,13.7904
10259,37,1,4.37,0,3.7757,0.5943
10260,41,16,200.4,40.08,138.5165,61.8835
10260,57,50,929,0,802.656,126.344
10260,62,15,540.375,108.075,373.5072,166.8678
10260,70,21,770.9625,154.1925,532.8893,238.0732
10261,21,20,200.2,0,172.9728,27.2272
10261,35,20,131.2,0,115.916,15.284
10262,5,12,80.352,13.392,57.8534,22.4986
10262,7,15,574.5,0,496.368,78.132
10262,56,2,69.1,0,59.7024,9.3976
10263,16,60,709.5,141.9,490.4064,219.0936
10263,24,28,114.52,0,100.7798,13.7402
10263,30,60,1992.75,398.55,1377.3888,615.3612
10263,74,36,1254.15,250.83,866.8685,387.2815
10264,2,35,719.25,0,621.432,97.818
10264,41,25,274.5625,35.8125,211.5246,63.0379
10265,17,30,717,0,619.488,97.512
10265,70,20,556.2,0,486.5012,69.6988
10266,12,12,128.016,6.096,105.3389,22.6771
10267,40,50,935.5,0,808.272,127.228
10267,59,70,697.13,90.93,523.7568,173.3732
10267,76,15,6356.7975,829.1475,4775.8896,1580.9079
10268,29,10,1173,0,1013.472,159.528
10268,72,4,50.56,0,43.6838,6.8762
10269,33,60,1726.2,82.2,1420.416,305.784
10269,72,20,255.57,12.17,210.2976,45.2724
10270,36,30,233.4,0,201.6576,31.7424
10270,43,25,326.5,0,282.096,44.404
10271,33,24,577.44,0,498.9082,78.5318
10272,20,6,529.5,0,457.488,72.012
10272,31,40,312.4,0,269.9136,42.4864
10272,72,24,282.24,0,263.4258,18.8142
10273,10,24,173.376,8.256,142.6637,30.7123
10273,31,15,140.9625,6.7125,115.992,24.9705
10273,33,20,509,0,439.776,69.224
10273,40,60,1219.05,58.05,1003.104,215.946
10273,76,33,14281.344,680.064,11751.5059,2529.8381
10274,71,20,623.4,0,538.6176,84.7824
10274,72,7,83.93,0,72.5155,11.4145
10275,24,12,51.912,2.472,46.0545,5.8575
10275,59,6,56.196,2.676,46.2413,9.9547
10276,10,15,103.8,0,89.6832,14.1168
10276,13,10,274.5,0,237.168,37.332
10277,28,20,889.6,0,768.6144,120.9856
10277,62,12,360.96,0,311.8694,49.0906
10278,44,16,1292.48,0,1116.7027,175.7773
10278,59,15,128.55,0,115.2167,13.3333
10278,63,8,168.16,0,145.2902,22.8698
10278,73,25,26.75,0,23.112,3.638
10279,17,15,506.625,101.325,372.12,134.505
10280,24,12,51,0,44.064,6.936
10280,55,20,849.4,0,733.8816,115.5184
10280,75,30,216.3,0,186.8832,29.4168
10281,19,1,9.9,0,8.5536,1.3464
10281,24,6,25.08,0,21.6691,3.4109
10281,35,4,25.48,0,22.4386,3.0414
10282,30,6,158.28,0,136.7539,21.5261
10282,57,2,42.04,0,36.3226,5.7174
10283,15,20,130.6,0,112.8384,17.7616
10283,19,18,165.24,0,142.7674,22.4726
10283,60,35,181.3,0,156.6432,24.6568
10283,72,3,34.98,0,30.2227,4.7573
10284,27,15,806.8125,161.3625,557.6688,249.1437
10284,44,21,1435.77,0,1240.5053,195.2647
10284,60,20,118.25,23.65,81.7344,36.5156
10284,67,5,400.4375,80.0875,276.7824,123.6551
10285,1,45,1064.88,177.48,766.7136,298.1664
10285,40,40,826.56,137.76,595.1232,231.4368
10285,53,36,2633.472,438.912,1896.0998,737.3722
10286,35,100,606,0,523.584,82.416
10286,62,40,1211.2,0,1046.4768,164.7232
10287,16,40,408.48,53.28,306.8928,101.5872
10287,34,20,153.4,0,132.5376,20.8624
10287,46,15,210.9675,27.5175,168.0717,42.8958
10288,54,10,369.82,33.62,290.4768,79.3432
10288,68,3,38.808,3.528,30.4819,8.3261
10289,3,30,616.2,0,532.3968,83.8032
10289,64,9,320.4,0,276.8256,43.5744
10290,5,20,131.4,0,113.5296,17.8704
10290,29,15,1890.45,0,1633.3488,257.1012
10290,49,15,294.9,0,254.7936,40.1064
10290,77,10,134.9,0,116.5536,18.3464
10291,13,20,506.66,46.06,397.9584,108.7016
10291,44,24,2182.752,198.432,1714.4525,468.2995
10291,51,2,234.432,21.312,184.1357,50.2963
10292,20,20,1681.4,0,1452.7296,228.6704
10293,18,12,328.56,0,283.8758,44.6842
10293,24,10,41.1,0,35.5104,5.5896
10293,63,5,105.3,0,90.9792,14.3208
10293,75,6,45.6,0,39.3984,6.2016
10294,1,18,389.88,0,336.8563,53.0237
10294,17,15,369.3,0,319.0752,50.2248
10294,43,15,193.5,0,167.184,26.316
10294,60,21,95.76,0,87.5671,8.1929
10294,75,6,49.32,0,42.6125,6.7075
10295,56,4,139.36,0,120.407,18.953
10296,11,12,319.44,0,275.9962,43.4438
10296,16,30,280.8,0,242.6112,38.1888
10296,69,15,28.35,0,24.4944,3.8556
10297,39,60,3561,0,3076.704,484.296
10297,72,20,239,0,206.496,32.504
10298,2,40,701.6,0,606.1824,95.4176
10298,36,40,367,73.4,253.6704,113.3296
10298,59,30,343.125,68.625,237.168,105.957
10298,62,15,420,0,362.88,57.12
10299,19,15,137.55,0,118.8432,18.7068
10299,70,20,581.6,0,502.5024,79.0976
10300,66,30,596.7,0,515.7551,80.9449
10300,68,20,225.4,0,194.7456,30.6544
10301,40,10,183.3,0,158.3712,24.9288
10301,56,20,783.4,0,676.8576,106.5424
10302,17,40,1026,0,886.464,139.536
10302,28,28,1198.68,0,1035.6595,163.0205
10302,43,12,129.84,0,112.1818,17.6582
10303,40,40,775.28,70.48,608.9472,166.3328
10303,65,30,355.74,32.34,279.4176,76.3224
10303,68,15,210.705,19.155,165.4992,45.2058
10304,49,30,593.7,0,512.9568,80.7432
10304,59,10,79.1,0,68.3424,10.7576
10304,71,2,59.52,0,51.4253,8.0947
10305,18,25,757.9,68.9,595.296,162.604
10305,29,25,3133.35,284.85,2461.104,672.246
10305,39,30,1889.25,171.75,1483.92,405.33
10306,30,10,280.2,0,242.0928,38.1072
10306,53,10,611.1,0,527.9904,83.1096
10306,54,5,189.4,0,163.6416,25.7584
10307,62,10,272.7,0,235.6128,37.0872
10307,68,3,38.46,0,33.2294,5.2306
10308,69,1,2.12,0,1.8317,0.2883
10308,70,5,147.75,0,127.656,20.094
10309,4,20,432.8,0,373.9392,58.8608
10309,6,30,110.7,0,95.6448,15.0552
10309,42,2,27.24,0,23.5354,3.7046
10309,43,20,237.4,0,205.1136,32.2864
10309,71,3,89.28,0,77.1379,12.1421
10310,16,10,85.3,0,73.6992,11.6008
10310,62,5,160.95,0,139.0608,21.8892
10311,42,6,89.58,0,77.3971,12.1829
10311,69,7,13.86,0,11.975,1.885
10312,28,4,196.68,0,179.4667,17.2133
10312,43,24,314.64,0,271.849,42.791
10312,53,20,1264.6,0,1092.6144,171.9856
10312,75,10,76.3,0,65.9232,10.3768
10313,36,12,101.64,0,87.817,13.823
10314,32,40,874.72,79.52,687.0528,187.6672
10314,58,30,1451.01,131.91,1139.7024,311.3076
10314,62,25,864.325,78.575,678.888,185.437
10315,34,14,117.32,0,101.3645,15.9555
10315,70,30,873.9,0,755.0496,118.8504
10316,41,10,89.6,0,77.4144,12.1856
10316,62,70,2053.1,0,1773.8784,279.2216
10317,1,20,362.4,0,313.1136,49.2864
10318,41,20,191.2,0,165.1968,26.0032
10318,76,6,2214.96,0,1913.7254,301.2346
10319,17,8,209.84,0,181.3018,28.5382
10319,28,14,682.78,0,589.9219,92.8581
10319,76,30,12119.1,0,10470.9024,1648.1976
10320,71,30,942.6,0,814.4064,128.1936
10321,35,10,54.3,0,46.9152,7.3848
10322,52,20,1560.4,0,1348.1856,212.2144
10323,15,5,30.6,0,26.4384,4.1616
10323,25,4,57.36,0,49.559,7.801
10323,39,4,244.84,0,211.5418,33.2982
10324,16,21,211.7955,27.6255,159.1229,52.6726
10324,35,70,452.41,59.01,339.8976,112.5124
10324,46,30,364.5,0,314.928,49.572
10324,59,40,382.26,49.86,287.1936,95.0664
10324,63,80,1894.28,247.08,1423.1808,471.0992
10325,6,6,22.26,0,19.2326,3.0274
10325,13,12,277.08,0,239.3971,37.6829
10325,14,9,190.26,0,164.3846,25.8754
10325,31,4,31.2,0,26.9568,4.2432
10325,72,40,438.4,0,378.7776,59.6224
10326,4,24,476.16,0,411.4022,64.7578
10326,57,16,287.04,0,248.0026,39.0374
10326,75,50,406,0,350.784,55.216
10327,2,25,576.6,96.1,415.152,161.448
10327,11,50,1746,291,1257.12,488.88
10327,30,35,1008.84,168.14,726.3648,282.4752
10327,58,30,1582.92,263.82,1139.7024,443.2176
10328,59,9,75.51,0,65.2406,10.2694
10328,65,40,414.4,0,358.0416,56.3584
10328,68,10,121.3,0,104.8032,16.4968
10329,19,10,89.25,4.25,80.3848,8.8652
10329,30,8,206.724,9.844,170.1043,36.6197
10329,38,20,1624.56,77.36,1336.7808,287.7792
10329,56,12,505.638,24.078,416.0678,89.5702
10330,26,50,1882.55,245.55,1414.368,468.182
10330,72,25,311.65,40.65,246.6153,65.0347
10331,54,15,569.55,0,492.0912,77.4588
10332,18,40,1191.36,198.56,857.7792,333.5808
10332,42,10,181.56,30.26,130.7232,50.8368
10332,47,16,471.744,78.624,339.6557,132.0883
10333,14,10,248.7,0,214.8768,33.8232
10333,21,10,115.5,10.5,99.0989,16.4011
10333,71,40,1364.44,124.04,1071.7056,292.7344
10334,52,8,582.08,0,502.9171,79.1629
10334,68,10,127.4,0,116.7875,10.6125
10335,2,7,163.884,27.314,117.9965,45.8875
10335,31,25,254.4,42.4,183.168,71.232
10335,32,6,134.208,22.368,96.6298,37.5782
10335,51,48,6007.104,1001.184,4325.1149,1681.9891
10336,4,18,459.954,41.814,361.273,98.681
10337,23,40,360,0,311.04,48.96
10337,26,24,805.2,0,725.2697,79.9303
10337,36,20,159.8,0,138.0672,21.7328
10337,37,28,109.2,0,94.3488,14.8512
10337,72,25,300.75,0,259.848,40.902
10338,17,20,524.8,0,453.4272,71.3728
10338,30,15,381,0,329.184,51.816
10339,4,10,213.2,0,184.2048,28.9952
10339,17,70,1797.81,85.61,1479.3408,318.4692
10339,62,28,857.08,0,740.5171,116.5629
10340,18,20,510.3,24.3,419.904,90.396
10340,41,12,115.038,5.478,94.6598,20.3782
10340,43,40,501.06,23.86,412.3008,88.7592
10341,33,8,211.6,0,182.8224,28.7776
10341,59,9,85.5945,11.1645,64.3075,21.287
10342,2,24,566.208,94.368,407.6698,158.5382
10342,31,56,585.984,97.664,421.9085,164.0755
10342,36,40,362.88,60.48,261.2736,101.6064
10342,55,40,1800.96,300.16,1296.6912,504.2688
10343,64,50,1697.5,0,1466.64,230.86
10343,68,4,48.51,2.31,39.9168,8.5932
10343,76,15,5862.3,0,5065.0272,797.2728
10344,4,35,727.3,0,628.3872,98.9128
10344,8,70,1697.5,339.5,1222.6774,474.8226
10345,8,70,1432.2,0,1237.4208,194.7792
10345,19,80,806.4,0,696.7296,109.6704
10345,42,9,136.71,0,118.1174,18.5926
10346,17,36,978.516,88.956,768.5798,209.9362
10346,56,20,810.2,0,700.0128,110.1872
10347,25,10,132.1,0,114.1344,17.9656
10347,39,50,3376.4,440.4,2536.704,839.696
10347,40,4,68,0,58.752,9.248
10347,75,6,53.475,6.975,40.176,13.299
10348,1,15,334.8225,43.6725,251.5536,83.2689
10348,23,25,230.75,0,199.368,31.382
10349,54,24,820.32,0,708.7565,111.5635
10350,50,15,272.085,24.735,213.7104,58.3746
10350,69,18,36.234,3.294,28.4602,7.7738
10351,38,20,1575.84,75.04,1296.6912,279.1488
10351,41,13,135.46,0,117.0374,18.4226
10351,44,77,5961.879,283.899,4905.7747,1056.1043
10351,65,10,105.84,5.04,87.0912,18.7488
10352,24,10,47.3,0,40.8672,6.4328
10352,54,20,871.7,113.7,654.912,216.788
10353,11,12,428.4,71.4,308.448,119.952
10353,38,50,4524,754,3257.28,1266.72
10354,1,12,259.8,0,224.4672,35.3328
10354,29,4,521.36,0,450.455,70.905
10355,24,25,116.5,0,100.656,15.844
10355,57,25,442.5,0,382.32,60.18
10356,31,30,276.6,0,238.9824,37.6176
10356,55,12,487.8,0,421.4592,66.3408
10356,69,20,41,0,35.424,5.576
10357,10,30,234.36,39.06,168.7392,65.6208
10357,26,16,471.04,0,406.9786,64.0614
10357,60,8,46.656,7.776,35.3201,11.336
10358,24,10,44.52,2.12,36.6336,7.8864
10358,34,10,86.73,4.13,73.1107,13.6193
10358,36,20,159.81,7.61,131.5008,28.3092
10359,16,56,602.112,28.672,495.4522,106.6598
10359,31,70,639.45,30.45,526.176,113.274
10359,60,80,458.64,21.84,377.3952,81.2448
10360,28,30,1262.1,0,1090.4544,171.6456
10360,29,35,4751.6,0,4105.3824,646.2176
10360,38,10,807.4,0,697.5936,109.8064
10360,49,35,640.15,0,553.0896,87.0604
10360,54,28,1028.44,0,888.5722,139.8678
10361,39,54,3596.076,326.916,2824.5542,771.5218
10361,60,55,282.535,25.685,221.9184,60.6166
10362,25,50,752,0,649.728,102.272
10362,51,20,2195.8,0,1897.1712,298.6288
10362,54,24,889.68,0,768.6835,120.9965
10363,31,20,186,0,174.0099,11.9901
10363,75,12,96.72,0,83.5661,13.1539
10363,76,12,5190.36,0,4735.0377,455.3223
10364,69,30,61.5,0,53.136,8.364
10364,71,5,148.65,0,128.4336,20.2164
10365,11,24,707.52,0,611.2973,96.2227
10366,65,5,45.6,0,39.3984,6.2016
10366,77,5,63.55,0,54.9072,8.6428
10367,34,36,272.16,0,256.6889,15.4711
10367,54,18,672.66,0,581.1782,91.4818
10367,65,15,141.15,0,121.9536,19.1964
10367,77,7,99.61,0,86.063,13.547
10368,21,5,57.915,5.265,45.4896,12.4254
10368,28,13,678.821,61.711,533.183,145.638
10368,57,25,451.25,0,389.88,61.37
10368,64,35,1245.09,113.19,977.9616,267.1284
10369,29,20,2355.6,0,2035.2384,320.3616
10369,56,18,886.95,177.39,613.0598,273.8902
10370,1,15,371.91,48.51,292.9833,78.9267
10370,64,30,1020.6,0,881.7984,138.8016
10370,74,20,750.72,97.92,564.0192,186.7008
10371,36,6,55.944,9.324,40.2797,15.6643
10372,20,12,1218.6,243.72,842.2963,376.3037
10372,38,40,3897,779.4,2702.9957,1194.0043
10372,60,70,463.75,92.75,320.544,143.206
10372,72,42,564.375,112.875,390.096,174.279
10373,58,80,5094.72,849.12,3668.1984,1426.5216
10373,71,50,1907.4,317.9,1373.328,534.072
10374,31,30,273.3,0,236.1312,37.1688
10374,58,15,773.55,0,668.3472,105.2028
10375,14,15,323.85,0,279.8064,44.0436
10375,54,10,329.5,0,284.688,44.812
10376,31,42,341.334,16.254,280.8691,60.4649
10377,28,20,947.14,123.54,711.5904,235.5496
10377,39,20,1374.94,179.34,1032.9984,341.9416
10378,71,6,169.14,0,148.1577,20.9823
10379,41,8,82.104,7.464,64.489,17.615
10379,63,16,358.16,32.56,281.3184,76.8416
10379,65,20,220,20,172.8,47.2
10380,30,18,505.098,45.918,396.7315,108.3665
10380,53,20,1341.12,121.92,1053.3888,287.7312
10380,60,6,31.68,2.88,24.8832,6.7968
