Report number:,Z489301,,,,,
10380,70,30,814.5,0,674.406,140.094
10381,74,14,428.26,0,354.5993,73.6607
10382,5,32,179.84,0,148.9075,30.9325
10382,18,9,241.02,0,199.5646,41.4554
10382,29,14,1811.32,0,1499.773,311.547
10382,33,60,1649.4,0,1365.7032,283.6968
10382,74,50,1360.5,0,1126.494,234.006
10383,13,20,523.6,0,433.5408,90.0592
10383,50,15,231.45,0,191.6406,39.8094
10383,56,20,826.4,0,684.2592,142.1408
10384,20,28,2422.28,0,2015.9715,406.3085
10384,60,15,79.8,0,66.0744,13.7256
10385,7,10,433.56,72.26,299.1564,134.4036
10385,60,20,119.76,19.96,82.6344,37.1256
10385,68,8,131.04,21.84,90.4176,40.6224
10386,24,15,61.65,0,51.0462,10.6038
10386,34,10,84.8,0,70.2144,14.5856
10387,24,15,72.75,0,65.5554,7.1946
10387,28,6,285.06,0,236.0297,49.0303
10387,59,12,106.44,0,88.1323,18.3077
10387,71,15,434.85,0,360.0558,74.7942
10388,45,15,156.6,26.1,108.054,48.546
10388,52,20,1983.6,330.6,1368.684,614.916
10388,53,40,2511.6,0,2079.6048,431.9952
10389,10,16,101.28,0,83.8598,17.4202
10389,55,15,562.35,0,465.6258,96.7242
10389,62,20,633.6,0,524.6208,108.9792
10389,70,30,838.8,0,694.5264,144.2736
10390,31,60,595.98,54.18,448.6104,147.3696
10390,35,40,288.64,26.24,217.2672,71.3728
10390,46,45,487.35,0,403.5258,83.8242
10390,72,24,288.816,26.256,217.3997,71.4163
10391,13,18,416.16,0,345.2441,70.9159
10392,69,50,104.5,0,86.526,17.974
10393,2,25,599.0625,119.8125,410.218,188.8445
10393,14,42,1146.075,229.215,759.1601,386.9149
10393,25,7,126.175,25.235,83.5783,42.5967
10393,26,70,2749.25,549.85,1866.9716,882.2784
10393,31,32,257.6,0,213.2928,44.3072
10394,13,10,270.4,0,223.8912,46.5088
10394,62,10,266.7,0,220.8276,45.8724
10395,46,28,357.896,32.536,269.3981,88.4979
10395,53,70,5109.72,464.52,3846.2256,1263.4944
10395,69,8,14.96,0,12.3869,2.5731
10396,23,40,344,0,284.832,59.168
10396,71,60,1780.2,0,1474.0056,306.1944
10396,72,21,230.16,0,190.5725,39.5875
10397,21,10,123.165,16.065,88.6788,34.4862
10397,51,18,2089.044,272.484,1504.1117,584.9323
10398,35,30,163.5,0,146.3896,17.1104
10398,55,120,4935.48,448.68,3715.0704,1220.4096
10399,68,60,794.4,0,693.5116,100.8884
10399,71,30,829.8,0,687.0744,142.7256
10399,76,35,13366.85,0,11067.7518,2299.0982
10399,77,14,168.14,0,139.2199,28.9201
10400,29,21,2554.65,0,2115.2502,439.3998
10400,35,35,203,0,168.084,34.916
10400,49,30,646.5,0,563.1968,83.3032
10401,30,18,469.26,0,388.5473,80.7127
10401,56,70,2804.2,0,2556.2446,247.9554
10401,65,20,181.2,0,150.0336,31.1664
10401,71,60,1823.4,0,1509.7752,313.6248
10402,23,60,544.2,0,450.5976,93.6024
10402,63,65,1231.1,0,1019.3508,211.7492
10403,16,21,245.1225,31.9725,176.4882,68.6343
10403,48,70,2562.315,334.215,1844.8668,717.4482
10404,26,30,1068.795,50.895,842.8212,225.9738
10404,42,40,561.54,26.74,442.8144,118.7256
10404,49,30,624.33,29.73,492.3288,132.0012
10405,3,50,924,0,791.6578,132.3422
10406,1,10,197.6,0,163.6128,33.9872
10406,21,30,346.83,31.53,277.302,69.528
10406,28,42,2187.108,198.828,1646.2958,540.8122
10406,36,5,43.34,3.94,32.6232,10.7168
10406,40,2,41.646,3.786,31.3481,10.2979
10407,11,30,765.6,0,633.9168,131.6832
10407,69,15,31.65,0,26.2062,5.4438
10407,71,15,484.95,0,401.5386,83.4114
10408,37,10,39.2,0,32.4576,6.7424
10408,54,6,204.54,0,169.3591,35.1809
10408,62,35,1088.85,0,901.5678,187.2822
10409,14,12,294.96,0,244.2269,50.7331
10409,21,12,131.52,0,108.8986,22.6214
10410,33,49,1272.04,0,1053.2491,218.7909
10410,59,16,149.12,0,123.4714,25.6486
10411,41,25,277.2,46.2,191.268,85.932
10411,44,40,3298.56,549.76,2276.0064,1022.5536
10411,59,9,98.928,16.488,68.2603,30.6677
10412,14,20,560.78,50.98,422.1144,138.6656
10413,1,24,504.24,0,417.5107,86.7293
10413,62,40,1214.8,0,1005.8544,208.9456
10413,76,14,5809.44,0,4810.2163,999.2237
10414,19,18,166.32,7.92,131.1552,35.1648
10414,33,50,1290.5,0,1107.4765,183.0235
10415,17,2,45.34,0,37.5415,7.7985
10415,33,20,516.8,0,464.8058,51.9942
10416,19,20,187.6,0,155.4529,32.1471
10416,53,10,553.2,0,458.0496,95.1504
10416,57,20,374.8,0,310.3344,64.4656
10417,38,50,3960.5,0,3292.6152,667.8848
10417,46,2,31.55,6.31,20.8987,10.6513
10417,68,36,565.2,113.04,374.3885,190.8115
10417,77,35,465.5,0,385.434,80.066
10418,2,60,1164.6,0,964.2888,200.3112
10418,47,55,1410.75,0,1168.101,242.649
10418,61,16,388.8,0,321.9264,66.8736
10418,74,15,463.65,0,383.9022,79.7478
10419,60,60,289.17,13.77,228.0312,61.1388
10419,69,20,39.27,1.87,32.6502,6.6198
10420,9,20,806.96,73.36,607.4208,199.5392
10420,13,2,59.136,5.376,44.5133,14.6227
10420,70,8,276.056,25.096,207.7949,68.2611
10420,73,20,23.76,2.16,17.8848,5.8752
10421,19,4,42.044,5.484,30.2717,11.7723
10421,26,30,955.8,0,791.4024,164.3976
10421,53,15,964.275,125.775,694.278,269.997
10421,77,10,138.345,18.045,104.8294,33.5156
10422,26,2,56.66,0,46.9145,9.7455
10423,31,14,107.66,0,89.1425,18.5175
10423,59,20,178.4,0,147.7152,30.6848
10424,35,60,399.6,66.6,275.724,123.876
10424,38,49,5068.56,844.76,3497.3064,1571.2536
10424,68,30,450.72,75.12,324.651,126.069
10425,55,10,450.5,90.1,298.4112,152.0888
10425,76,20,9035.75,1807.15,5985.2808,3050.4692
10426,56,5,181.45,0,150.2406,31.2094
10426,64,7,233.24,0,193.1227,40.1173
10427,14,35,851.55,0,706.8956,144.6544
10428,46,20,241.4,0,199.8792,41.5208
10429,50,40,686,0,568.008,117.992
10429,63,35,951.5625,190.3125,630.315,321.2475
10430,17,45,1217.16,202.86,839.8404,377.3196
10430,21,50,513,0,424.764,88.236
10430,56,30,1087.5,0,900.45,187.05
10430,59,70,719.04,119.84,496.1376,222.9024
10431,17,50,1585.625,317.125,1050.318,535.307
10431,40,50,1118.75,223.75,741.06,377.69
10431,47,30,1012.125,202.425,670.4316,341.6934
10432,26,10,300.4,0,248.7312,51.6688
10432,54,40,1364.8,0,1130.0544,234.7456
10433,56,28,1072.68,0,888.179,184.501
10434,11,6,156.78,0,129.8138,26.9662
10434,76,18,8931.843,1165.023,6430.927,2500.9161
10435,2,10,200.5,0,166.014,34.486
10435,22,12,45,0,37.26,7.74
10435,72,10,126,0,104.328,21.672
10436,46,5,64.25,0,53.199,11.051
10436,56,40,1661.44,151.04,1250.6112,410.8288
10436,64,30,1199.22,109.02,902.6856,296.5344
10436,75,24,189.552,17.232,142.681,46.871
10437,53,15,872.55,0,722.4714,150.0786
10438,19,15,171.36,28.56,118.2384,53.1216
10438,34,20,179.52,29.92,123.8688,55.6512
10438,57,15,365.4,60.9,252.126,113.274
10439,12,15,153.3,0,126.9324,26.3676
10439,16,16,159.68,0,132.215,27.465
10439,64,6,210.12,0,173.9794,36.1406
10439,74,30,985.5,0,815.994,169.506
10440,2,45,1046.385,136.485,753.3972,292.9878
10440,16,49,520.674,67.914,374.8853,145.7887
10440,29,24,3564.54,464.94,2566.4688,998.0712
10440,61,90,2685.825,350.325,1933.794,752.031
10441,27,50,2212.5,0,1831.95,380.55
10442,11,30,919.2,0,761.0976,158.1024
10442,54,80,2913.6,0,2412.4608,501.1392
10442,66,60,1168.8,0,967.7664,201.0336
10443,11,6,192.312,32.052,132.6953,59.6167
10443,28,12,522.24,0,432.4147,89.8253
10444,17,10,270,0,223.56,46.44
10444,26,15,464.55,0,384.6474,79.9026
10444,35,8,45.6,0,37.7568,7.8432
10444,41,30,275.7,0,228.2796,47.4204
10445,39,6,351.42,0,290.9758,60.4442
10445,54,15,529.8,0,445.4543,84.3457
10446,19,12,122.232,11.112,92.0074,30.2246
10446,24,20,92.62,8.42,69.7176,22.9024
10446,31,3,27.291,2.481,20.5427,6.7483
10446,52,15,1266.54,115.14,953.3592,313.1808
10447,19,40,341.2,0,282.5136,58.6864
10447,65,35,366.8,0,303.7104,63.0896
10447,71,2,57.08,0,47.2622,9.8178
10448,26,6,195.18,0,161.609,33.571
10448,40,20,373,0,308.844,64.156
10449,10,14,97.86,0,81.0281,16.8319
10449,52,20,1759.6,0,1456.9488,302.6512
10449,62,35,1044.4,0,892.9365,151.4635
10450,10,20,183.36,30.56,127.4957,55.8643
10450,54,6,253.584,42.264,174.973,78.611
10451,55,120,5283.96,480.36,3977.3808,1306.5792
10451,64,35,1383.69,125.79,1041.5412,342.1488
10451,65,28,328.328,29.848,247.1414,81.1866
10451,77,55,756.855,68.805,569.7054,187.1496
10452,28,15,736.35,0,609.6978,126.6522
10452,44,100,8495.55,404.55,6699.348,1796.202
10453,48,15,592.35,53.85,445.878,146.472
10453,70,25,836.825,76.075,629.901,206.924
10454,16,20,213.12,35.52,147.0528,66.0672
10454,33,20,668.88,111.48,461.5272,207.3528
10454,46,10,143.64,23.94,99.1116,44.5284
10455,39,20,1297.8,0,1074.5784,223.2216
10455,53,50,3115.5,0,2579.634,535.866
10455,61,25,668.75,0,553.725,115.025
10455,71,30,835.5,0,691.794,143.706
10456,21,40,422.74,55.14,336.004,86.736
10456,49,21,484.932,63.252,349.151,135.781
10457,59,36,282.6,0,248.1619,34.4381
10458,26,30,846.3,0,700.7364,145.5636
10458,28,30,1445.7,0,1197.0396,248.6604
10458,43,20,252.8,0,217.8839,34.9161
10458,56,15,604.8,0,500.7744,104.0256
10458,71,50,1502,0,1243.656,258.344
10459,7,16,655.872,31.232,517.2019,138.6701
10459,46,20,251.58,11.98,198.3888,53.1912
10459,72,40,512.4,0,424.2672,88.1328
10460,68,21,310.5375,62.1075,205.7,104.8375
10460,75,4,39.6,7.92,26.231,13.369
10461,21,40,493,98.6,326.5632,166.4368
10461,30,28,955.15,191.03,632.6914,322.4586
10461,55,60,2643,528.6,1750.7232,892.2768
10462,13,1,27.09,0,22.4305,4.6595
10462,23,21,178.5,0,156.1513,22.3487
10463,19,21,203.07,0,168.142,34.928
10463,42,50,743,0,615.204,127.796
10464,4,16,429.888,71.648,296.6227,133.2653
10464,43,3,33.54,0,27.7711,5.7689
10464,56,30,1417.32,236.22,977.9508,439.3692
10464,60,20,103.6,0,85.7808,17.8192
10465,24,25,110.25,0,91.287,18.963
10465,29,18,2646.864,240.624,2087.2047,559.6594
10465,40,20,387,0,320.436,66.564
10465,45,30,339.57,30.87,255.6036,83.9664
10465,50,25,378.25,0,313.191,65.059
10466,11,10,257.3,0,217.8903,39.4097
10466,46,5,59.25,0,49.059,10.191
10467,24,28,128.8,0,116.1418,12.6582
10467,25,12,161.52,0,145.9954,15.5246
10468,30,8,188.4,0,155.9952,32.4048
10468,43,15,173.85,0,143.9478,29.9022
10469,2,40,807.76,105.36,581.5872,226.1728
10469,16,35,384.79,50.19,277.0488,107.7412
10469,44,2,156.814,20.454,112.9061,43.9079
10470,18,30,755.7,0,654.3161,101.3839
10470,23,15,133.65,0,110.6622,22.9878
10470,64,8,291.12,0,241.0474,50.0726
10471,7,30,1192.2,0,1023.5194,168.6806
10471,56,20,796.4,0,659.4192,136.9808
10472,24,80,351.96,16.76,281.694,70.266
10472,51,18,1632.42,0,1351.6438,280.7762
10473,33,12,319.08,0,264.1982,54.8818
10473,71,12,391.44,0,324.1123,67.3277
10474,14,12,295.8,0,244.9224,50.8776
10474,28,18,789.66,0,653.8385,135.8215
10474,40,21,374.22,0,309.8542,64.3658
10474,75,10,76.3,0,63.1764,13.1236
10475,31,35,374.7275,48.8775,269.8038,104.9237
10475,66,60,1189.56,155.16,924.3776,265.1824
10475,76,42,20042.0851,2614.1851,14430.3012,5611.7839
10476,55,2,79.044,3.764,62.3318,16.7122
10476,70,12,313.68,0,259.727,53.953
10477,1,15,316.65,0,262.1862,54.4638
10477,21,21,236.775,47.355,161.4655,75.3095
10477,39,20,1427.5,285.5,945.576,481.924
10478,10,20,138.6,6.6,109.296,29.304
10479,38,30,2492.1,0,2063.4588,428.6412
10479,53,28,1833.16,0,1517.8565,315.3035
10479,59,60,493.2,0,408.3696,84.8304
10479,64,30,1044.9,0,865.1772,179.7228
10480,47,30,780.3,0,646.0884,134.2116
10480,59,12,97.68,0,80.879,16.801
10481,49,24,454.8,0,386.2125,68.5875
10481,60,40,204.8,0,169.5744,35.2256
10482,40,10,175.9,0,152.0496,23.8504
10483,34,35,294,14,231.84,62.16
10483,77,30,443.205,21.105,349.4988,93.7062
10484,21,14,134.12,0,111.0514,23.0686
10484,40,10,184,0,152.352,31.648
10484,51,3,272.88,0,225.9446,46.9354
10485,2,20,383.68,34.88,288.8064,94.8736
10485,3,20,476.96,43.36,359.0208,117.9392
10485,55,30,1161.93,105.63,874.6164,287.3136
10485,70,60,1768.8,160.8,1331.424,437.376
10486,11,5,141.9,0,117.4932,24.4068
10486,51,25,2421.25,0,2004.795,416.455
10486,74,16,439.84,0,364.1875,75.6525
10487,19,5,48.45,0,40.1166,8.3334
10487,26,30,1002,0,829.656,172.344
10487,54,24,1008.3,201.66,667.8979,340.4021
10488,59,30,264,0,218.592,45.408
10488,73,20,29.04,4.84,20.0376,9.0024
10489,11,15,529.5,105.9,350.7408,178.7592
10489,16,18,159.84,0,132.3475,27.4925
10490,59,60,518.4,0,433.4823,84.9177
10490,68,30,398.7,0,341.6847,57.0153
10490,75,36,270,0,223.56,46.44
10491,44,15,1420.365,185.265,1022.6628,397.7022
10491,77,7,114.31,14.91,82.3032,32.0068
10492,25,60,868.14,41.34,684.5904,183.5496
10492,42,20,290.22,13.82,254.2259,35.9941
10493,65,15,156.585,14.235,117.8658,38.7192
10493,66,10,219.23,19.93,165.0204,54.2096
10493,69,10,20.57,1.87,15.4836,5.0864
10494,56,30,1061.1,0,878.5908,182.5092
10495,23,10,83.3,0,68.9724,14.3276
10495,41,20,204.4,0,169.2432,35.1568
10495,77,5,65.6,0,54.3168,11.2832
10496,31,20,171.57,8.17,135.2952,36.2748
10497,56,14,579.46,0,479.7929,99.6671
10497,72,25,278,0,230.184,47.816
10497,77,25,303,0,250.884,52.116
10498,24,14,68.6,0,56.8008,11.7992
10498,40,5,90,0,74.52,15.48
10498,42,30,453,0,375.084,77.916
10499,28,20,872.8,0,772.1489,100.6511
10499,49,25,476.5,0,394.542,81.958
10500,15,12,81.018,3.858,63.8885,17.1295
10500,28,8,394.128,18.768,310.7981,83.3299
10501,54,20,755.8,0,687.421,68.379
10502,45,21,210,0,173.88,36.12
10502,53,6,400.98,0,332.0114,68.9686
10502,67,30,1899.6,0,1572.8688,326.7312
10503,14,70,1743.7,0,1443.7836,299.9164
10503,65,20,197.4,0,181.1092,16.2908
10504,2,12,246,0,203.688,42.312
10504,21,12,129,0,106.812,22.188
10504,53,10,623.2,0,516.0096,107.1904
10504,61,25,650.5,0,538.614,111.886
10505,62,3,94.08,0,77.8982,16.1818
10506,25,18,292.446,26.586,220.1321,72.3139
10506,70,14,473.55,43.05,356.454,117.096
10507,43,15,196.8225,25.6725,141.7122,55.1103
10507,48,15,551.1375,71.8875,396.819,154.3185
10508,13,10,240.9,0,199.4652,41.4348
10508,39,10,640.2,0,530.0856,110.1144
10509,28,3,149.76,0,134.1337,15.6263
10510,29,36,4764.24,0,3944.7907,819.4493
10510,75,36,312.444,28.404,235.1851,77.2589
10511,4,50,1371.95,178.95,987.804,384.146
10511,7,50,2442.6,318.6,1758.672,683.928
10511,8,10,252.655,32.955,181.9116,70.7434
10512,24,10,52.9,6.9,38.088,14.812
10512,46,9,129.8925,16.9425,93.5226,36.3699
10512,47,6,183.885,23.985,132.3972,51.4878
10512,60,12,72.45,9.45,52.164,20.286
10513,21,40,475.68,79.28,328.2192,147.4608
10513,32,50,1079.4,179.9,744.786,334.614
10513,61,15,460.26,76.71,317.5794,142.6806
10514,20,39,3433.17,0,2842.6648,590.5052
10514,28,35,1618.05,0,1339.7454,278.3046
10514,56,70,2674.7,0,2214.6516,460.0484
10514,65,39,429,0,361.3885,67.6115
10514,75,50,368.5,0,305.118,63.382
10515,9,16,773.72,100.92,557.0784,216.6416
10515,16,50,434,0,359.352,74.648
10515,27,120,5004,0,4143.312,860.688
10515,33,16,515.384,67.224,371.0765,144.3075
10515,60,84,516.81,67.41,372.1032,144.7068
10516,18,25,749.375,68.125,564.075,185.3
10516,41,80,924,84,695.52,228.48
10516,42,20,291.4,0,261.3874,30.0126
10517,52,6,512.94,0,424.7143,88.2257
10517,59,4,33.2,0,27.4896,5.7104
10517,70,6,186.54,0,154.4551,32.0849
10518,24,5,21.65,0,17.9262,3.7238
10518,38,15,1150.35,0,952.4898,197.8602
10518,44,9,691.29,0,572.3881,118.9019
10519,10,16,126.84,6.04,100.0224,26.8176
10519,56,40,1629.2,0,1348.9776,280.2224
10519,60,10,53.655,2.555,42.3108,11.3442
10520,24,8,37.44,0,31.0003,6.4397
10520,53,5,284.5,0,235.566,48.934
10521,35,3,18.72,0,15.5002,3.2198
10521,41,10,96.3,0,79.7364,16.5636
10521,68,6,76.68,0,63.491,13.189
10522,1,40,1038.24,173.04,716.3856,321.8544
10522,8,24,502.32,0,415.921,86.399
10522,30,20,621.12,103.52,428.5728,192.5472
10522,40,25,547.5,91.25,377.775,169.725
10523,17,25,672.375,61.125,506.115,166.26
10523,20,15,1385.01,125.91,1042.5348,342.4752
10523,37,18,79.794,7.254,60.8305,18.9635
10523,41,6,68.64,6.24,51.6672,16.9728
10524,10,2,14.98,0,12.4034,2.5766
10524,30,10,272.5,0,225.63,46.87
10524,43,60,780,0,645.84,134.16
10524,54,15,513.45,0,425.1366,88.3134
10525,36,30,219.3,0,195.8452,23.4548
10525,40,15,304.59,27.69,229.2732,75.3168
10526,1,8,179.676,23.436,129.3667,50.3093
10526,13,10,262.4,0,217.2672,45.1328
10526,56,30,1438.305,187.605,1035.5796,402.7254
10527,4,50,1294.15,117.65,1038.547,255.603
10527,36,30,277.2,25.2,208.656,68.544
10528,11,3,88.11,0,72.9551,15.1549
10528,33,8,261.408,43.568,180.3715,81.0365
10528,72,9,95.94,0,79.4383,16.5017
10529,55,14,517.58,0,428.5562,89.0238
10529,68,20,274.6,0,227.3688,47.2312
10529,69,10,20.6,0,17.0568,3.5432
10530,17,40,968,0,801.504,166.496
10530,43,25,272.75,0,225.837,46.913
10530,61,20,554.2,0,448.902,105.298
10530,76,50,19557.5,0,15841.575,3715.925
10531,59,2,15.8,0,12.798,3.002
10532,30,15,369.9,0,299.619,70.281
10532,66,24,449.28,0,363.9168,85.3632
10533,4,50,1061.025,50.525,818.505,242.52
10533,72,24,264.72,0,214.4232,50.2968
10533,73,24,25.704,1.224,19.8288,5.8752
10534,30,10,263.1,0,213.111,49.989
10534,40,10,221.76,36.96,149.688,72.072
10534,54,10,443.4,73.9,299.295,144.105
10535,11,50,1556.5,141.5,1146.15,410.35
10535,40,10,213.4,19.4,157.14,56.26
10535,57,5,112.09,10.19,82.539,29.551
10535,59,15,126.39,11.49,93.069,33.321
10536,12,15,181.875,36.375,117.855,64.02
10536,31,20,178.2,0,144.342,33.858
10536,33,30,692.4,0,560.844,131.556
10536,60,35,213.0625,42.6125,138.0645,74.998
10537,31,30,240,0,194.4,45.6
10537,51,6,552.84,0,447.8004,105.0396
10537,58,20,1043.4,0,845.154,198.246
10537,72,21,233.52,0,189.1512,44.3688
10537,73,9,9.36,0,7.5816,1.7784
10538,70,7,212.52,0,172.1412,40.3788
10538,72,1,11.58,0,9.3798,2.2002
10539,13,8,199.12,0,161.2872,37.8328
10539,21,15,163.65,0,132.5565,31.0935
10539,33,15,414.6,0,335.826,78.774
10539,49,6,125.4,0,102.2553,23.1447
10540,3,60,1146,0,928.26,217.74
10540,26,40,1368.4,0,1108.404,259.996
10540,38,30,2527.2,0,2047.032,480.168
10540,68,35,456.4,0,369.684,86.716
10541,24,35,162.47,14.77,119.637,42.833
10541,38,4,340.824,30.984,250.9704,89.8536
10541,65,36,366.3,33.3,269.73,96.57
10541,71,9,274.329,24.939,202.0059,72.3231
10542,11,15,444.3075,21.1575,342.7515,101.556
10542,54,24,822.024,39.144,634.1328,187.8912
10543,12,30,358.8,46.8,252.72,106.08
10543,23,70,772.8,100.8,544.32,228.48
10544,28,7,304.15,0,246.3615,57.7885
10544,67,7,453.6,0,367.416,86.184
10545,11,10,263.7,0,219.9619,43.7381
10546,7,10,434.6,0,352.026,82.574
10546,35,30,181.8,0,147.258,34.542
10546,62,40,1180.4,0,956.124,224.276
10547,32,24,492.384,64.224,346.8096,145.5744
10547,36,60,514.8,0,416.988,97.812
10548,34,10,109.125,21.825,70.713,38.412
10548,41,14,146.72,0,118.8432,27.8768
10549,31,55,487.025,63.525,343.035,143.99
10549,45,100,1084.45,141.45,763.83,320.62
10549,51,48,5390.832,703.152,3797.0208,1593.8112
10550,17,8,225.632,20.512,166.1472,59.4848
10550,19,10,95.2,0,77.112,18.088
10550,21,6,62.7,5.7,46.17,16.53
10550,61,10,282.15,25.65,207.765,74.385
10551,16,40,391.46,51.06,275.724,115.736
10551,35,20,130.18,16.98,91.692,38.488
10551,44,40,2739.6,0,2219.076,520.524
10552,69,18,34.56,0,27.9936,6.5664
10552,75,30,214.8,0,173.988,40.812
10553,11,15,454.35,0,368.0235,86.3265
10553,16,14,127.82,0,103.5342,24.2858
10553,22,24,78.72,0,63.7632,14.9568
10553,31,30,248.1,0,200.961,47.139
10553,35,6,37.5,0,30.375,7.125
10554,16,30,309.015,14.715,238.383,70.632
10554,23,20,197.82,9.42,152.604,45.216
10554,62,20,562.8,26.8,434.16,128.64
10554,77,10,143.01,6.81,110.322,32.688
10555,14,30,772.56,128.76,521.478,251.082
10555,19,35,357,59.5,240.975,116.025
10555,24,18,88.56,14.76,59.778,28.782
10555,51,20,2441.04,406.84,1647.702,793.338
10555,56,40,1915.2,319.2,1292.76,622.44
10556,72,24,281.28,0,227.8368,53.4432
10557,64,30,1084.5,0,878.445,206.055
10557,75,20,157.6,0,127.656,29.944
10558,47,25,619,0,501.39,117.61
10558,51,20,1828.6,0,1588.9367,239.6633
10558,52,30,2554.2,0,2068.902,485.298
10558,53,18,1013.94,0,821.2914,192.6486
10558,73,3,2.97,0,2.4057,0.5643
10559,41,12,109.872,5.232,84.7584,25.1136
10559,55,18,736.344,35.064,568.0368,168.3072
10560,30,20,512.4,0,415.044,97.356
10560,62,15,585,117,379.08,205.92
10561,44,10,688.9,0,558.009,130.891
10561,51,50,5042.5,0,4084.425,958.075
10562,33,20,579.04,52.64,426.384,152.656
10562,62,10,320.32,29.12,235.872,84.448
10563,36,25,202,0,163.62,38.38
10563,52,70,5688.9,0,4608.009,1080.891
10564,17,16,422.352,20.112,325.8144,96.5376
10564,31,6,48.51,2.31,37.422,11.088
10564,55,25,930.5625,44.3125,717.8625,212.7
10565,24,25,121.825,11.075,89.7075,32.1175
10565,64,18,697.752,63.432,513.7992,183.9528
10566,11,35,1054.55,137.55,742.77,311.78
10566,18,18,545.652,71.172,384.3288,161.3232
10566,76,10,3986.3,0,3228.903,757.397
10567,31,60,624.24,104.04,421.362,202.878
10567,51,3,324.06,0,262.4886,61.5714
10567,59,40,386.88,64.48,261.8772,125.0028
10568,10,5,32.45,0,26.2845,6.1655
10569,31,35,358.26,59.71,265.7266,92.5334
10569,76,30,11229.9,0,9096.219,2133.681
10570,11,15,484.785,23.085,373.977,110.808
10570,56,60,2530.71,120.51,1952.262,578.448
10571,14,11,278.1735,36.2835,195.9309,82.2426
10571,42,28,435.988,56.868,307.0872,128.9008
10572,16,12,131.736,11.976,97.0056,34.7304
10572,32,10,223.96,20.36,164.916,59.044
10572,40,50,971.5,0,786.915,184.585
10572,75,15,137.28,12.48,101.088,36.192
10573,17,18,438.66,0,355.3146,83.3454
10573,34,40,295.2,0,239.112,56.088
10573,53,25,1640.25,0,1328.6025,311.6475
10574,33,14,387.1,0,313.551,73.549
10574,40,2,38.58,0,31.2498,7.3302
10574,62,10,300.3,0,243.243,57.057
10574,64,6,212.88,0,172.4328,40.4472
10575,59,12,112.08,0,90.7848,21.2952
10575,63,6,118.26,0,95.7906,22.4694
10575,72,30,335.1,0,271.431,63.669
10575,76,10,4060.8,0,3533.3719,527.4281
10576,1,10,219.4,0,177.714,41.686
10576,31,20,165,0,143.5829,21.4171
10576,44,21,1611.96,0,1305.6876,306.2724
10577,39,10,627.2,0,508.032,119.168
10577,75,20,167.2,0,135.432,31.768
10577,77,18,215.1,0,177.8927,37.2073
10578,35,20,129.4,0,104.814,24.586
10578,57,6,117.78,0,100.1533,17.6267
10579,15,10,70.9,0,57.429,13.471
10579,75,21,165.27,0,133.8687,31.4013
10580,14,15,363.3525,17.3025,280.3005,83.052
